                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4583,                 2.1004,                 1.3203,                0.62441,                  0.492,                0.52421,                0.34307,                 1.1373,                  1.245,                 1.1453,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.2555,                 1.2744,                 1.1734,                0.66933,                0.59534,                0.64774,                0.42982,                 1.1057,                 1.0649,                 1.0969,              0.0065315,              0.0065315,              0.0065315
                      3,                 1.2479,                 1.1682,                 1.1627,                0.66782,                0.58703,                0.65226,                0.42941,                 1.1216,                 1.0215,                 1.0957,              0.0096009,              0.0096009,              0.0096009
                      4,                 1.2142,                 1.0692,                 1.1486,                 0.7341,                0.57523,                0.65936,                0.44722,                 1.0733,                0.96511,                 1.1027,               0.009406,               0.009406,               0.009406
                      5,                 1.1556,                0.97958,                 1.1231,                0.73607,                0.63792,                0.70782,                0.47857,                 1.0594,                0.87494,                 1.0974,               0.009208,               0.009208,               0.009208
                      6,                 1.1179,                0.92456,                 1.1067,                0.75378,                0.66335,                0.74165,                0.51331,                 1.0241,                0.76464,                 1.0632,                0.00901,                0.00901,                0.00901
                      7,                 1.0913,                0.88339,                 1.0943,                0.75812,                0.65904,                0.74121,                0.52052,                0.97214,                0.74113,                 1.0455,               0.008812,               0.008812,               0.008812
                      8,                 1.0688,                0.85414,                 1.0827,                0.76872,                0.68459,                0.76339,                0.54501,                 0.9325,                0.71438,                 1.0302,               0.008614,               0.008614,               0.008614
                      9,                 1.0462,                0.82702,                 1.0732,                0.76647,                0.70937,                0.77582,                0.56228,                0.90746,                0.67962,                 1.0153,               0.008416,               0.008416,               0.008416
                     10,                 1.0391,                0.81197,                 1.0687,                0.82486,                0.70097,                0.79641,                0.57846,                 0.9199,                0.65083,                 1.0178,               0.008218,               0.008218,               0.008218
                     11,                 1.0217,                0.79191,                 1.0594,                0.82499,                0.70078,                0.79906,                0.58278,                0.90053,                0.64517,                 1.0086,                0.00802,                0.00802,                0.00802
                     12,                 1.1493,                0.90133,                 1.0252,                0.80546,                0.66527,                0.75129,                0.52829,                0.92459,                 0.6853,                0.95094,               0.007822,               0.007822,               0.007822
                     13,                 1.1265,                0.88027,                 1.0157,                0.80527,                 0.6759,                0.76077,                0.53622,                0.90714,                0.67763,                0.95055,               0.007624,               0.007624,               0.007624
                     14,                 1.1166,                0.86557,                 1.0132,                0.78885,                0.66504,                0.75205,                0.53076,                0.91531,                0.66147,                0.94736,               0.007426,               0.007426,               0.007426
                     15,                 1.1048,                0.84864,                   1.01,                0.77459,                0.69066,                0.75681,                0.53899,                0.88626,                0.64607,                0.94082,               0.007228,               0.007228,               0.007228
                     16,                 1.0923,                 0.8389,                 1.0049,                0.79261,                0.69388,                0.77537,                0.54559,                0.90448,                 0.6443,                0.94392,                0.00703,                0.00703,                0.00703
                     17,                 1.0802,                0.82467,                 1.0002,                 0.7807,                0.68327,                0.76432,                0.54706,                0.87693,                0.64393,                0.93606,               0.006832,               0.006832,               0.006832
                     18,                 1.0781,                0.81858,                0.99893,                0.79097,                0.69922,                0.78008,                 0.5603,                0.88611,                0.63666,                0.93727,               0.006634,               0.006634,               0.006634
                     19,                 1.0642,                 0.8034,                0.99514,                0.79024,                0.70448,                 0.7756,                0.55417,                0.87404,                 0.6314,                0.93516,               0.006436,               0.006436,               0.006436
                     20,                 1.0594,                0.79656,                0.99353,                0.80533,                0.69239,                0.77756,                0.56129,                0.86143,                0.62046,                0.93052,               0.006238,               0.006238,               0.006238
                     21,                 1.0505,                0.78443,                0.99196,                0.81982,                0.69324,                 0.7866,                0.56986,                0.85206,                0.60101,                0.93073,                0.00604,                0.00604,                0.00604
                     22,                 1.0491,                0.78428,                0.99004,                 0.7889,                 0.7046,                0.77548,                 0.5573,                 0.8785,                 0.6161,                0.93213,               0.005842,               0.005842,               0.005842
                     23,                 1.0413,                0.77715,                0.98509,                0.81052,                0.70745,                0.78933,                0.56871,                0.86162,                0.60266,                0.92843,               0.005644,               0.005644,               0.005644
                     24,                 1.0349,                0.77123,                0.98493,                0.79219,                0.71375,                0.79065,                0.57584,                0.85411,                0.59856,                0.92726,               0.005446,               0.005446,               0.005446
                     25,                 1.0287,                0.76608,                0.98368,                 0.8006,                0.72893,                0.80259,                0.58257,                0.85482,                0.58942,                0.92735,               0.005248,               0.005248,               0.005248
                     26,                 1.0221,                0.75487,                0.97936,                0.85753,                0.70594,                 0.8043,                0.58816,                 0.8413,                0.58377,                0.92392,                0.00505,                0.00505,                0.00505
                     27,                 1.0165,                0.75087,                0.97821,                 0.8086,                0.73544,                0.80717,                0.59057,                0.84053,                0.57989,                 0.9225,               0.004852,               0.004852,               0.004852
                     28,                 1.0158,                0.74677,                0.97826,                0.82947,                0.70529,                0.80156,                0.58964,                0.83309,                0.57803,                0.92077,               0.004654,               0.004654,               0.004654
                     29,                 1.0141,                0.74658,                0.97708,                0.82334,                0.71388,                0.80261,                 0.5867,                0.83877,                 0.5771,                0.92247,               0.004456,               0.004456,               0.004456
                     30,                 1.0056,                0.73869,                0.97523,                0.84122,                0.70944,                0.80639,                0.59084,                0.83217,                0.57379,                0.92087,               0.004258,               0.004258,               0.004258
                     31,                0.99738,                0.72999,                0.97172,                0.82938,                0.71926,                0.80598,                0.59151,                0.83094,                0.57234,                0.92006,                0.00406,                0.00406,                0.00406
                     32,                0.99927,                0.72843,                0.97117,                0.82923,                0.70961,                0.80328,                0.58952,                0.82818,                0.56866,                 0.9187,               0.003862,               0.003862,               0.003862
                     33,                0.99049,                0.72391,                0.96987,                0.80264,                0.72696,                0.79877,                0.58774,                0.82507,                 0.5661,                0.91714,               0.003664,               0.003664,               0.003664
                     34,                0.98547,                 0.7162,                0.96861,                0.82139,                0.71433,                0.80363,                0.59342,                0.82605,                0.56606,                0.91762,               0.003466,               0.003466,               0.003466
                     35,                0.98545,                0.71419,                0.96681,                0.79624,                0.72936,                0.80685,                0.59535,                0.82599,                0.56374,                 0.9172,               0.003268,               0.003268,               0.003268
                     36,                0.97684,                0.70754,                0.96497,                0.80292,                0.73023,                0.81017,                0.59748,                0.82127,                0.55806,                0.91602,                0.00307,                0.00307,                0.00307
                     37,                0.97414,                0.70216,                0.96208,                0.79955,                0.73825,                 0.8108,                0.59795,                0.82394,                0.55752,                0.91621,               0.002872,               0.002872,               0.002872
                     38,                0.97299,                0.70174,                0.96254,                0.82762,                0.72149,                0.81518,                0.60319,                0.82254,                0.55621,                0.91494,               0.002674,               0.002674,               0.002674
                     39,                0.96377,                0.69355,                0.96143,                 0.8313,                0.72097,                0.81541,                0.60507,                0.82072,                0.55362,                 0.9147,               0.002476,               0.002476,               0.002476
                     40,                0.95798,                0.68918,                0.95766,                0.82647,                0.73113,                0.81821,                0.60551,                0.81952,                0.55176,                0.91333,               0.002278,               0.002278,               0.002278
                     41,                0.91189,                0.63562,                0.94802,                0.82858,                0.72519,                0.81707,                0.60285,                0.81868,                0.55162,                 0.9141,                0.00208,                0.00208,                0.00208
                     42,                 0.8989,                0.62585,                 0.9455,                0.82888,                0.71953,                0.81615,                0.60361,                0.81274,                0.55134,                0.91353,               0.001882,               0.001882,               0.001882
                     43,                0.89068,                0.61494,                0.94301,                0.81656,                0.72766,                0.81227,                0.60096,                  0.811,                0.55072,                0.91361,               0.001684,               0.001684,               0.001684
                     44,                0.88741,                0.61158,                0.94167,                0.80929,                0.73012,                0.81252,                0.60139,                0.81197,                0.55004,                0.91406,               0.001486,               0.001486,               0.001486
                     45,                0.88009,                0.60576,                0.93694,                0.78251,                0.74626,                0.81207,                0.60142,                0.80944,                0.54925,                0.91313,               0.001288,               0.001288,               0.001288
                     46,                 0.8712,                0.59624,                 0.9346,                0.81253,                0.72761,                0.81275,                0.60203,                0.80869,                 0.5487,                0.91277,                0.00109,                0.00109,                0.00109
                     47,                0.86702,                0.59296,                0.93524,                0.81035,                0.72992,                0.81305,                 0.6025,                0.80785,                 0.5482,                0.91263,               0.000892,               0.000892,               0.000892
                     48,                0.85929,                0.58701,                0.93191,                0.80764,                0.73151,                0.81341,                0.60252,                0.80748,                0.54802,                0.91276,               0.000694,               0.000694,               0.000694
                     49,                0.85382,                0.57821,                0.92927,                0.81624,                0.72058,                0.81288,                0.60188,                0.80737,                0.54769,                0.91269,               0.000496,               0.000496,               0.000496
                     50,                 0.8494,                0.57747,                0.92874,                0.82081,                0.71633,                0.81272,                0.60139,                0.80752,                 0.5479,                0.91276,               0.000298,               0.000298,               0.000298
